node,eigenvector
Grin,0.3157810764804676
SN4,0.3005609284704956
Topless,0.28500310473240437
Scabs,0.281097017160587
TR99,0.21769051331081507
Patchback,0.21176109464474224
Trigger,0.21068020892089812
Hook,0.20799316926734238
SN9,0.2078726313020371
MN105,0.20734961722376988
Jonah,0.20249300124247627
SN63,0.19661653892836553
MN83,0.1932118098330091
Stripes,0.1903379603455067
Kringel,0.1844778733532398
Haecksel,0.16417491138339668
Double,0.14310221675120965
Shmuddel,0.13882725110356872
SN100,0.13276550630017522
TSN103,0.12956359101537382
Beak,0.12850351911087216
Zap,0.11181865699755933
MN60,0.0873620226040391
SN96,0.08095068341031326
TR77,0.08037195763313361
CCL,0.07933447607445522
Thumper,0.07780212964010051
Fish,0.07525346435103515
Oscar,0.06822697202643725
Vau,0.05210934393071287
Zipfel,0.05199117201156755
DN63,0.042908020056302676
Beescratch,0.042091441435724825
PL,0.04075065098782638
Bumper,0.03975713309801053
Fork,0.039075861161635285
TSN83,0.033686654598907226
TR120,0.029716244849600244
SMN5,0.029437314009677577
Cross,0.02928705714262821
Five,0.02928705714262821
Whitetip,0.027332062086978564
TR88,0.02342956700211972
Upbang,0.023022376520473405
SN89,0.02087597074555256
Knit,0.020682545955984944
Jet,0.01753496833868235
Web,0.01740197368197063
Number1,0.01632668732073103
SN90,0.015262103099078316
Gallatin,0.015030415487480693
Feather,0.012220169764468436
DN21,0.012211980286547353
Notch,0.00894919228768804
DN16,0.006572752164517536
Mus,0.005952326426510387
Ripplefluke,0.0038643437589662884
Wave,0.0026123141901086876
MN23,0.002438237539825345
Quasi,0.002438237539825345
TR82,0.0024198473930088916
Zig,0.0005374384753918985
