node,pagerank,eigenvector,clustering
Beak,0.016962206735765765,0.12850351911087216,0.3333333333333333
Beescratch,0.024657779163893456,0.042091441435724825,0.14285714285714285
Bumper,0.013335733674746102,0.03975713309801053,0.16666666666666666
CCL,0.009627334957614968,0.07933447607445522,0.3333333333333333
Cross,0.005079101632863055,0.02928705714262821,0.0
DN16,0.014434748216370162,0.006572752164517536,0.5
DN21,0.020063144455665028,0.012211980286547353,0.5333333333333333
DN63,0.01564571966634353,0.042908020056302676,0.2
Double,0.017095254673197,0.14310221675120965,0.26666666666666666
Feather,0.02347021551520822,0.012220169764468436,0.5238095238095238
Fish,0.015105623761720376,0.07525346435103515,0.4
Five,0.005079101632863055,0.02928705714262821,0.0
Fork,0.004834672050768328,0.039075861161635285,0.0
Gallatin,0.026169925979057256,0.015030415487480693,0.5
Grin,0.032137029718865714,0.3157810764804676,0.25757575757575757
Haecksel,0.019878693559467992,0.16417491138339668,0.23809523809523808
Hook,0.016623110455451107,0.20799316926734238,0.6
Jet,0.0317411226125807,0.01753496833868235,0.2222222222222222
Jonah,0.01939089776938836,0.20249300124247627,0.5238095238095238
Knit,0.01293094177744182,0.020682545955984944,0.5
Kringel,0.02463646831978113,0.1844778733532398,0.1388888888888889
MN105,0.016934972605708244,0.20734961722376988,0.5333333333333333
MN23,0.005417443345758518,0.002438237539825345,0.0
MN60,0.009861995696270574,0.0873620226040391,0.3333333333333333
MN83,0.016901707992051738,0.1932118098330091,0.5333333333333333
Mus,0.011508033929094379,0.005952326426510387,0.6666666666666666
Notch,0.011213415672020617,0.00894919228768804,0.6666666666666666
Number1,0.0171355079823567,0.01632668732073103,0.4
Oscar,0.014845201153005742,0.06822697202643725,0.3
Patchback,0.026452435542402352,0.21176109464474224,0.25
PL,0.015302368341419285,0.04075065098782638,0.3
Quasi,0.005417443345758518,0.002438237539825345,0.0
Ripplefluke,0.013313928897279621,0.0038643437589662884,0.3333333333333333
Scabs,0.028416738215896523,0.281097017160587,0.3333333333333333
Shmuddel,0.01591676077236302,0.13882725110356872,0.3
SMN5,0.004917509664233046,0.029437314009677577,0.0
SN100,0.020612335397333263,0.13276550630017522,0.047619047619047616
SN4,0.029868954502794757,0.3005609284704956,0.23636363636363636
SN63,0.023934211002516637,0.19661653892836553,0.2857142857142857
SN89,0.007766174012190614,0.02087597074555256,0.0
SN9,0.021963068899042957,0.2078726313020371,0.25
SN90,0.01614465557108976,0.015262103099078316,0.6
SN96,0.01761586423543476,0.08095068341031326,0.3333333333333333
Stripes,0.02168654443551452,0.1903379603455067,0.23809523809523808
Thumper,0.01282838719819995,0.07780212964010051,0.16666666666666666
Topless,0.02950713720344268,0.28500310473240437,0.3090909090909091
TR120,0.008824553336390241,0.029716244849600244,0.0
TR77,0.017337284683481224,0.08037195763313361,0.4
TR82,0.005263257942261389,0.0024198473930088916,0.0
TR88,0.008875430027408569,0.02342956700211972,0.0
TR99,0.019227657759572744,0.21769051331081507,0.23809523809523808
Trigger,0.031292342498045814,0.21068020892089812,0.24444444444444444
TSN103,0.012070150637939633,0.12956359101537382,0.3333333333333333
TSN83,0.008179721210497344,0.033686654598907226,0.0
Upbang,0.0216594518249355,0.023022376520473405,0.38095238095238093
Vau,0.007492839172228223,0.05210934393071287,0.0
Wave,0.008329735718986276,0.0026123141901086876,0.0
Web,0.03010894136248934,0.01740197368197063,0.3611111111111111
Whitetip,0.004962247282902534,0.027332062086978564,0.0
Zap,0.014765350940706749,0.11181865699755933,0.3
Zig,0.006192110658192512,0.0005374384753918985,0.0
Zipfel,0.011037303001729701,0.05199117201156755,0.0
