node,pagerank
Grin,0.032137029718865714
Jet,0.0317411226125807
Trigger,0.031292342498045814
Web,0.03010894136248934
SN4,0.029868954502794757
Topless,0.02950713720344268
Scabs,0.028416738215896523
Patchback,0.026452435542402352
Gallatin,0.026169925979057256
Beescratch,0.024657779163893456
Kringel,0.02463646831978113
SN63,0.023934211002516637
Feather,0.02347021551520822
SN9,0.021963068899042957
Stripes,0.02168654443551452
Upbang,0.0216594518249355
SN100,0.020612335397333263
DN21,0.020063144455665028
Haecksel,0.019878693559467992
Jonah,0.01939089776938836
TR99,0.019227657759572744
SN96,0.01761586423543476
TR77,0.017337284683481224
Number1,0.0171355079823567
Double,0.017095254673197
Beak,0.016962206735765765
MN105,0.016934972605708244
MN83,0.016901707992051738
Hook,0.016623110455451107
SN90,0.01614465557108976
Shmuddel,0.01591676077236302
DN63,0.01564571966634353
PL,0.015302368341419285
Fish,0.015105623761720376
Oscar,0.014845201153005742
Zap,0.014765350940706749
DN16,0.014434748216370162
Bumper,0.013335733674746102
Ripplefluke,0.013313928897279621
Knit,0.01293094177744182
Thumper,0.01282838719819995
TSN103,0.012070150637939633
Mus,0.011508033929094379
Notch,0.011213415672020617
Zipfel,0.011037303001729701
MN60,0.009861995696270574
CCL,0.009627334957614968
TR88,0.008875430027408569
TR120,0.008824553336390241
Wave,0.008329735718986276
TSN83,0.008179721210497344
SN89,0.007766174012190614
Vau,0.007492839172228223
Zig,0.006192110658192512
MN23,0.005417443345758518
Quasi,0.005417443345758518
TR82,0.005263257942261389
Cross,0.005079101632863055
Five,0.005079101632863055
Whitetip,0.004962247282902534
SMN5,0.004917509664233046
Fork,0.004834672050768328
